StudentID,Grade_Group,Age,StudyHrs,Score
1,B,21,8.3,87
2,C,18,3.0,55
3,C,21,4.3,72
4,B,18,7.0,48
5,A,17,2.8,99
6,A,20,1.6,98
7,A,20,3.3,45
8,C,20,2.3,55
9,B,21,8.4,68
10,C,17,7.5,42
11,A,21,6.1,59
12,C,21,8.0,99
13,C,17,7.4,98
14,A,17,2.5,75
15,A,17,8.1,58
16,A,17,5.3,65
17,B,20,7.5,42
18,B,19,8.2,58
19,B,19,3.5,59
20,A,17,1.9,71
21,B,19,2.8,46
22,A,19,4.4,91
23,A,17,7.5,80
24,B,19,7.9,72
25,B,21,1.1,79
26,C,18,5.1,78
27,A,18,4.3,57
28,B,17,2.8,79
29,B,20,2.0,40
30,A,17,3.7,50
31,B,20,8.5,67
32,A,18,3.6,96
33,A,17,5.2,64
34,C,22,6.6,89
35,C,21,3.9,62
36,C,19,8.8,70
37,B,20,8.7,69
38,A,22,3.0,81
39,B,19,5.0,74
40,B,19,3.4,46
41,A,17,3.3,99
42,B,19,1.3,55
43,A,21,5.9,65
44,C,22,5.0,87
45,A,19,1.4,96
46,B,17,3.2,91
47,B,21,8.3,99
48,B,18,2.9,88
49,B,22,2.2,41
50,A,19,4.9,40
51,C,17,8.9,87
52,C,18,2.9,51
53,C,18,6.4,44
54,C,20,7.1,76
55,B,21,2.9,71
56,C,19,6.8,98
57,A,17,3.9,94
58,A,20,6.1,48
59,A,21,6.1,80
60,B,20,5.3,74
